tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,7157,0,live,TP53,"BCC7, BMFS5, LFS1, P53, TRP53",tumor protein p53,; cellular tumor antigen p53|antigen NY-CO-13|mutant tumor protein 53|p53 tumor suppressor|phosphoprotein p53|transformation-related protein 53|tumor protein 53|tumor supressor p53,17p13.1,17,NC_000017.11,7668402,7687550,minus,12,191170
9606,Homo sapiens,7124,0,live,TNF,"DIF-alpha, TNFA, TNFSF2, TNLG1F, TNF",tumor necrosis factor,"; tumor necrosis factor|APC1 protein|TNF, macrophage-derived|TNF, monocyte-derived|TNF-a|cachectin|tumor necrosis factor ligand 1F|tumor necrosis factor ligand superfamily member 2|tumor necrosis factor-alpha",6p21.33,6,NC_000006.12,31575565,31578336,plus,4,191160
9606,Homo sapiens,348,0,live,APOE,"AD2, APO-E, ApoE4, LDLCQ5, LPG",apolipoprotein E,; apolipoprotein E|apolipoprotein E3,19q13.32,19,NC_000019.10,44905796,44909395,plus,6,107741
9606,Homo sapiens,7422,0,live,VEGFA,"MVCD1, VEGF, VPF",vascular endothelial growth factor A,; vascular endothelial growth factor A|vascular endothelial growth factor A121|vascular endothelial growth factor A165|vascular permeability factor,6p21.1,6,NC_000006.12,43770209,43786487,plus,9,192240
9606,Homo sapiens,3569,0,live,IL6,"BSF-2, BSF2, CDF, HGF, HSF, IFN-beta-2, IFNB2, IL-6",interleukin 6,; interleukin-6|B-cell differentiation factor|B-cell stimulatory factor 2|CTL differentiation factor|hybridoma growth factor|interferon beta-2|interleukin BSF-2,7p15.3,7,NC_000007.14,22725889,22732002,plus,6,147620
9606,Homo sapiens,7040,0,live,TGFB1,"CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta",transforming growth factor beta 1,; transforming growth factor beta-1 proprotein|TGF-beta-1|latency-associated peptide|prepro-transforming growth factor beta-1|transforming growth factor beta1,19q13.2,19,NC_000019.10,41330323,41353922,minus,7,190180
9606,Homo sapiens,3586,0,live,IL10,"CSIF, GVHDS, IL-10A, TGIF, IL10",interleukin 10,; interleukin-10|T-cell growth inhibitory factor|cytokine synthesis inhibitory factor,1q32.1,1,NC_000001.11,206767602,206772494,minus,5,124092
9606,Homo sapiens,1636,0,live,ACE,"ACE1, CD143, DCP, DCP1",angiotensin I converting enzyme,"; angiotensin-converting enzyme|CD143 antigen|angiotensin I converting enzyme (peptidyl-dipeptidase A) 1|angiotensin converting enzyme, somatic isoform|carboxycathepsin|dipeptidyl carboxypeptidase 1|dipeptidyl carboxypeptidase I|kininase II|peptidase P",17q23.3,17,NC_000017.11,63477061,63498373,plus,26,106180
9606,Homo sapiens,4318,0,live,MMP9,"CLG4B, GELB, MANDP2, MMP-9",matrix metallopeptidase 9,"; matrix metalloproteinase-9|macrophage gelatinase|matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|type V collagenase",20q13.12,20,NC_000020.11,46008908,46016561,plus,13,120361
9606,Homo sapiens,3123,0,live,HLA-DRB1,"DRB1, HLA-DR1B, HLA-DRB, SS1","major histocompatibility complex, class II, DR beta 1","; major histocompatibility complex, class II, DR beta 1|HLA class II histocompatibility antigen, DR-1 beta chain|MHC class II HLA-DR beta 1 chain|human leucocyte antigen DRB1|lymphocyte antigen DRB1",6p21.32,6,NC_000006.12,32578769,32589836,minus,6,142857
9606,Homo sapiens,5243,0,live,ABCB1,"ABC20, CD243, CLCS, GP170, MDR1, P-GP, PGY1",ATP binding cassette subfamily B member 1,"; ATP-dependent translocase ABCB1|ATP-binding cassette, sub-family B (MDR/TAP), member 1|P glycoprotein|P-glycoprotein 1|colchicin sensitivity|doxorubicin resistance|multidrug resistance protein 1|phospholipid transporter ABCB1",7q21.12,7,NC_000007.14,87503017,87713323,minus,32,171050
9606,Homo sapiens,1401,0,live,CRP,PTX1,C-reactive protein,"; C-reactive protein|C-reactive protein, pentraxin-related|pentraxin 1",1q23.2,1,NC_000001.11,159712289,159714589,minus,4,123260
9606,Homo sapiens,3553,0,live,IL1B,"IL-1, IL1-BETA, IL1F2, IL1beta",interleukin 1 beta,; interleukin-1 beta|IL-1 beta|catabolin|interleukin 1beta|preinterleukin 1 beta|pro-interleukin-1-beta,2q14.1,2,NC_000002.12,112829751,112836843,minus,7,147720
9606,Homo sapiens,5743,0,live,PTGS2,"COX-2, COX2, GRIPGHS, PGG/HS, PGHS-2, PHS-2, hCox-2",prostaglandin-endoperoxide synthase 2,; prostaglandin G/H synthase 2|PGH synthase 2|PHS II|cyclooxygenase 2|cyclooxygenase 2b|prostaglandin H2 synthase 2|prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),1q31.1,1,NC_000001.11,186671791,186680423,minus,10,600262
9606,Homo sapiens,4846,0,live,NOS3,"ECNOS, eNOS",nitric oxide synthase 3,"; nitric oxide synthase, endothelial|EC-NOS|NOS type III|NOSIII|cNOS|constitutive NOS|endothelial NOS|nitric oxide synthase 3 (endothelial cell)|nitric oxide synthase 3 transcript variant eNOS-delta20|nitric oxide synthase 3 transcript variant eNOS-delta20-21|nitric oxide synthase 3 transcript variant eNOS-delta21",7q36.1,7,NC_000007.14,150991017,151014588,plus,28,163729
9606,Homo sapiens,7099,0,live,TLR4,"ARMD10, CD284, TLR-4, TOLL",toll like receptor 4,; toll-like receptor 4|hToll|homolog of Drosophila toll|toll like receptor 4 protein,9q33.1,9,NC_000009.12,117704403,117724735,plus,4,603030
9606,Homo sapiens,3576,0,live,CXCL8,"GCP-1, GCP1, IL8, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1",C-X-C motif chemokine ligand 8,"; interleukin-8|T-cell chemotactic factor|alveolar macrophage chemotactic factor I|beta endothelial cell-derived neutrophil activating peptide|beta-thromboglobulin-like protein|chemokine (C-X-C motif) ligand 8|emoctakin|granulocyte chemotactic protein 1|interleukin 8|lung giant cell carcinoma-derived chemotactic protein|lymphocyte derived neutrophil activating peptide|monocyte-derived neutrophil chemotactic factor|monocyte-derived neutrophil-activating peptide|neutrophil-activating peptide 1|small inducible cytokine subfamily B, member 8|tumor necrosis factor-induced gene 1",4q13.3,4,NC_000004.12,73740569,73743716,plus,4,146930
9606,Homo sapiens,3106,0,live,HLA-B,"AS, B-4901, HLAB","major histocompatibility complex, class I, B","; major histocompatibility complex, class I, B|HLA class I antigen HLA-B|HLA class I histocompatibility antigen, B alpha chain|MHC HLA-B cell surface glycoprotein|MHC HLA-B transmembrane glycoprotein|MHC class 1 antigen|MHC class I antigen HLA-B alpha chain|MHC class I antigen HLA-B heavy chain|MHC class I antigen SHCHA|MHC class I molecule|leukocyte antigen class I-B",6p21.33,6,NC_000006.12,31353875,31357179,minus,8,142830
9606,Homo sapiens,3479,0,live,IGF1,"IGF, IGF-I, IGFI, MGF",insulin like growth factor 1,; insulin-like growth factor I|insulin-like growth factor 1 (somatomedin C)|insulin-like growth factor IB|mechano growth factor|somatomedin-C,12q23.2,12,NC_000012.12,102395860,102481839,minus,7,147440
9606,Homo sapiens,2944,0,live,GSTM1,"GST1-1, GSTM1a-1a, GSTM1b-1b, GTH4, GTM1, H-B, MU, MU-1, GSTM1",glutathione S-transferase mu 1,; glutathione S-transferase Mu 1|GST HB subunit 4|GST class-mu 1|HB subunit 4|S-(hydroxyalkyl)glutathione lyase|glutathione S-alkyltransferase|glutathione S-aralkyltransferase|glutathione S-aryltransferase|glutathione S-transferase M1,1p13.3,1,NC_000001.11,109687817,109693745,plus,8,138350
9606,Homo sapiens,3458,0,live,IFNG,"IFG, IFI",interferon gamma,; interferon gamma|IFN-gamma|immune interferon,12q15,12,NC_000012.12,68154768,68159740,minus,4,147570
9606,Homo sapiens,2952,0,live,GSTT1,,glutathione S-transferase theta 1,; glutathione S-transferase theta-1|GST class-theta-1|glutathione transferase T1-1,22q11.23,22,,,,,,600436
9606,Homo sapiens,2950,0,live,GSTP1,"DFN7, FAEES3, GST3, GSTP, HEL-S-22, PI",glutathione S-transferase pi 1,"; glutathione S-transferase P|GST class-pi|GSTP1-1|deafness, X-linked 7|epididymis secretory protein Li 22|fatty acid ethyl ester synthase III",11q13.2,11,NC_000011.10,67583812,67586653,plus,7,134660
9606,Homo sapiens,7097,0,live,TLR2,"CD282, TIL4",toll like receptor 2,; toll-like receptor 2|toll/interleukin-1 receptor-like protein 4,4q31.3,4,NC_000004.12,153684080,153710643,plus,5,603028
9606,Homo sapiens,1493,0,live,CTLA4,"ALPS5, CD, CD152, CELIAC3, CTLA-4, GRD4, GSE, IDDM12",cytotoxic T-lymphocyte associated protein 4,; cytotoxic T-lymphocyte protein 4|CD152 isoform|celiac disease 3|cytotoxic T lymphocyte associated antigen 4 short spliced form|cytotoxic T-lymphocyte-associated serine esterase-4|insulin-dependent diabetes mellitus 12|ligand and transmembrane spliced cytotoxic T lymphocyte associated antigen 4,2q33.2,2,NC_000002.12,203867771,203873965,plus,4,123890
9606,Homo sapiens,3105,0,live,HLA-A,HLAA,"major histocompatibility complex, class I, A","; HLA class I histocompatibility antigen, A alpha chain|HLA class I histocompatibility antigen, A-1 alpha chain|MHC class I antigen HLA-A heavy chain|leukocyte antigen class I-A",6p22.1,6,NC_000006.12,29942532,29945870,plus,8,142800
9606,Homo sapiens,4780,0,live,NFE2L2,"HEBP1, IMDDHH, NRF2, Nrf-2","nuclear factor, erythroid 2 like 2",; nuclear factor erythroid 2-related factor 2|nuclear factor erythroid-derived 2-like 2,2q31.2,2,NC_000002.12,177230303,177265131,minus,6,600492
9606,Homo sapiens,1565,0,live,CYP2D6,"CPD6, CYP2D, CYP2D7AP, CYP2D7BP, CYP2D7P2, CYP2D8P2, CYP2DL1, CYPIID6, P450-DB1, P450C2D, P450DB1",cytochrome P450 family 2 subfamily D member 6,"; cytochrome P450 2D6|cholesterol 25-hydroxylase|cytochrome P450, family 2, subfamily D, polypeptide 6|cytochrome P450, family 2, subfamily D, polypeptide 7 pseudogene 2|cytochrome P450, family 2, subfamily D, polypeptide 8 pseudogene 2|cytochrome P450, subfamily II (debrisoquine, sparteine, etc., -metabolising), polypeptide 7 pseudogene 2|cytochrome P450, subfamily IID (debrisoquine, sparteine, etc., -metabolising), polypeptide 8 pseudogene 2|cytochrome P450, subfamily IID (debrisoquine, sparteine, etc., -metabolizing), polypeptide 6|cytochrome P450, subfamily IID (debrisoquine, sparteine, etc., -metabolizing)-like 1|cytochrome P450-DB1|debrisoquine 4-hydroxylase|flavoprotein-linked monooxygenase|microsomal monooxygenase|nonfunctional cytochrome P450 2D6|xenobiotic monooxygenase",22q13.2,22,NC_000022.11,42126499,42130810,minus,9,124030
9606,Homo sapiens,154,0,live,ADRB2,"ADRB2R, ADRBR, B2AR, BAR, BETA2AR",adrenoceptor beta 2,"; beta-2 adrenergic receptor|adrenergic, beta-2-, receptor, surface|adrenoceptor beta 2 surface|beta-2 adrenoceptor|beta-2 adrenoreceptor|catecholamine receptor",5q32,5,NC_000005.10,148826593,148828634,plus,1,109690
9606,Homo sapiens,355,0,live,FAS,"ALPS1A, APO-1, APT1, CD951, FASTM, TNFRSF6, FAS",Fas cell surface death receptor,"; tumor necrosis factor receptor superfamily member 6|APO-1 cell surface antigen|CD95 antigen|FASLG receptor|Fas (TNF receptor superfamily, member 6)|Fas AMA|TNF receptor superfamily member 6|apoptosis antigen 1|apoptosis signaling receptor FAS|apoptosis-mediating surface antigen FAS|mutant tumor necrosis receptor superfamily member 6|tumor necrosis factor receptor superfamily, member 6",10q23.31,10,NC_000010.11,88968429,89017059,plus,15,134637
9606,Homo sapiens,3383,0,live,ICAM1,"BB2, CD54, P3.58",intercellular adhesion molecule 1,"; intercellular adhesion molecule 1|ICAM-1|cell surface glycoprotein P3.58|epididymis secretory sperm binding protein|intercellular adhesion molecule 1 (CD54), human rhinovirus receptor|major group rhinovirus receptor",19p13.2,19,NC_000019.10,10271120,10286615,plus,7,147840
9606,Homo sapiens,3162,0,live,HMOX1,"HMOX1D, HO-1, HSP32, bK286B10",heme oxygenase 1,"; heme oxygenase 1|heat shock protein, 32-kD|heme oxygenase (decycling) 1",22q12.3,22,NC_000022.11,35381096,35394207,plus,5,141250
9606,Homo sapiens,50943,0,live,FOXP3,"AIID, DIETER, IPEX, JM2, PIDX, XPID",forkhead box P3,"; forkhead box protein P3|FOXP3delta7|immune dysregulation, polyendocrinopathy, enteropathy, X-linked|immunodeficiency, polyendocrinopathy, enteropathy, X-linked|scurfin",Xp11.23,X,NC_000023.11,49250436,49264932,minus,12,300292
9606,Homo sapiens,3606,0,live,IL18,"IGIF, IL-18, IL-1g, IL1F4",interleukin 18,; interleukin-18|IFN-gamma-inducing factor|IL-1 gamma|iboctadekin|interleukin 18 (interferon-gamma-inducing factor)|interleukin-1 gamma,11q23.1,11,NC_000011.10,112143251,112164104,minus,6,600953
9606,Homo sapiens,3135,0,live,HLA-G,MHC-G,"major histocompatibility complex, class I, G","; HLA class I histocompatibility antigen, alpha chain G|HLA G antigen|HLA-G histocompatibility antigen, class I, G|MHC class I antigen G|MHC class Ib antigen|b2 microglobulin|mutant MHC class I antigen|mutant MHC class Ib antigen",6p22.1,6,NC_000006.12,29826979,29831130,plus,9,142871
9606,Homo sapiens,3565,0,live,IL4,"BCGF-1, BCGF1, BSF-1, BSF1, IL-4",interleukin 4,; interleukin-4|B cell growth factor 1|B_cell stimulatory factor 1|binetrakin|interleukin 4 variant 2|lymphocyte stimulatory factor 1|pitrakinra,5q31.1,5,NC_000005.10,132673986,132682678,plus,5,147780
9606,Homo sapiens,7450,0,live,VWF,"F8VWF, VWD",von Willebrand factor,; von Willebrand factor|coagulation factor VIII VWF,12p13.31,12,NC_000012.12,5948874,6124675,minus,52,613160
9606,Homo sapiens,836,0,live,CASP3,"CPP32, CPP32B, SCA-1",caspase 3,"; caspase-3|CASP-3|CPP-32|PARP cleavage protease|SREBP cleavage activity 1|apopain|caspase 3, apoptosis-related cysteine peptidase|caspase 3, apoptosis-related cysteine protease|cysteine protease CPP32|procaspase3|protein Yama",4q35.1,4,NC_000004.12,184627696,184649475,minus,9,600636
9606,Homo sapiens,1906,0,live,EDN1,"ARCND3, ET1, HDLCQ7, PPET1, QME",endothelin 1,; endothelin-1|preproendothelin-1,6p24.1,6,NC_000006.12,12256463,12297194,plus,9,131240
9606,Homo sapiens,4153,0,live,MBL2,"COLEC1, HSMBPC, MBLD, MBP, MBP-C, MBP1, MBPD, MBL2",mannose binding lectin 2,"; mannose-binding protein C|collectin-1|mannan-binding lectin|mannose-binding lectin (protein C) 2, soluble (opsonic defect)|mannose-binding lectin 2, soluble (opsonic defect)",10q21.1,10,NC_000010.11,52764977,52772847,minus,5,154545
9606,Homo sapiens,3043,0,live,HBB,"CD113t-C, ECYT6, beta-globin",hemoglobin subunit beta,"; hemoglobin subunit beta|beta globin chain|hemoglobin beta subunit|hemoglobin, beta",11p15.4,11,NC_000011.10,5225464,5227071,minus,3,141900
9606,Homo sapiens,4312,0,live,MMP1,"CLG, CLGN",matrix metallopeptidase 1,; interstitial collagenase|fibroblast collagenase|matrix metallopeptidase 1 (interstitial collagenase)|matrix metalloprotease 1|matrix metalloproteinase 1,11q22.2,11,NC_000011.10,102789919,102798160,minus,10,120353
9606,Homo sapiens,185,0,live,AGTR1,"AG2SB, AT1, AT1AR, AT1B, AT1BR, AT1R, AT2R1, HAT1R, AGTR1",angiotensin II receptor type 1,; type-1 angiotensin II receptor|type-1B angiotensin II receptor,3q24,3,NC_000003.12,148697871,148743003,plus,5,106165
9606,Homo sapiens,3557,0,live,IL1RN,"DIRA, ICIL-1RA, IL-1RN, IL-1ra, IL-1ra3, IL1F3, IL1RA, IRAP, MVCD4",interleukin 1 receptor antagonist,; interleukin-1 receptor antagonist protein|IL1 inhibitor|intracellular IL-1 receptor antagonist type II|intracellular interleukin-1 receptor antagonist (icIL-1ra)|type II interleukin-1 receptor antagonist,2q14.1,2,NC_000002.12,113099365,113134016,plus,11,147679
9606,Homo sapiens,5133,0,live,PDCD1,"CD279, PD-1, PD1, SLEB2, hPD-1, hPD-l, hSLE1",programmed cell death 1,; programmed cell death protein 1|programmed cell death 1 protein|protein PD-1|systemic lupus erythematosus susceptibility 2,2q37.3,2,NC_000002.12,241849881,241858908,minus,6,600244
9606,Homo sapiens,4282,0,live,MIF,"GIF, GLIF, MMIF",macrophage migration inhibitory factor,; macrophage migration inhibitory factor|L-dopachrome isomerase|L-dopachrome tautomerase|epididymis secretory sperm binding protein|macrophage migration inhibitory factor (glycosylation-inhibiting factor)|phenylpyruvate tautomerase,22q11.23,22,NC_000022.11,23894383,23895223,plus,3,153620
