tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,7157,0,live,TP53,"BCC7, BMFS5, LFS1, P53, TRP53",tumor protein p53,; cellular tumor antigen p53|antigen NY-CO-13|mutant tumor protein 53|p53 tumor suppressor|phosphoprotein p53|transformation-related protein 53|tumor protein 53|tumor supressor p53,17p13.1,17,NC_000017.11,7668402,7687550,minus,12,191170
9606,Homo sapiens,7124,0,live,TNF,"DIF-alpha, TNFA, TNFSF2, TNLG1F, TNF",tumor necrosis factor,"; tumor necrosis factor|APC1 protein|TNF, macrophage-derived|TNF, monocyte-derived|TNF-a|cachectin|tumor necrosis factor ligand 1F|tumor necrosis factor ligand superfamily member 2|tumor necrosis factor-alpha",6p21.33,6,NC_000006.12,31575565,31578336,plus,4,191160
9606,Homo sapiens,7422,0,live,VEGFA,"MVCD1, VEGF, VPF",vascular endothelial growth factor A,; vascular endothelial growth factor A|vascular endothelial growth factor A121|vascular endothelial growth factor A165|vascular permeability factor,6p21.1,6,NC_000006.12,43770209,43786487,plus,9,192240
9606,Homo sapiens,3569,0,live,IL6,"BSF-2, BSF2, CDF, HGF, HSF, IFN-beta-2, IFNB2, IL-6",interleukin 6,; interleukin-6|B-cell differentiation factor|B-cell stimulatory factor 2|CTL differentiation factor|hybridoma growth factor|interferon beta-2|interleukin BSF-2,7p15.3,7,NC_000007.14,22725889,22732002,plus,6,147620
9606,Homo sapiens,7040,0,live,TGFB1,"CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta",transforming growth factor beta 1,; transforming growth factor beta-1 proprotein|TGF-beta-1|latency-associated peptide|prepro-transforming growth factor beta-1|transforming growth factor beta1,19q13.2,19,NC_000019.10,41330323,41353922,minus,7,190180
9606,Homo sapiens,3586,0,live,IL10,"CSIF, GVHDS, IL-10A, TGIF, IL10",interleukin 10,; interleukin-10|T-cell growth inhibitory factor|cytokine synthesis inhibitory factor,1q32.1,1,NC_000001.11,206767602,206772494,minus,5,124092
9606,Homo sapiens,1636,0,live,ACE,"ACE1, CD143, DCP, DCP1",angiotensin I converting enzyme,"; angiotensin-converting enzyme|CD143 antigen|angiotensin I converting enzyme (peptidyl-dipeptidase A) 1|angiotensin converting enzyme, somatic isoform|carboxycathepsin|dipeptidyl carboxypeptidase 1|dipeptidyl carboxypeptidase I|kininase II|peptidase P",17q23.3,17,NC_000017.11,63477061,63498373,plus,26,106180
9606,Homo sapiens,4318,0,live,MMP9,"CLG4B, GELB, MANDP2, MMP-9",matrix metallopeptidase 9,"; matrix metalloproteinase-9|macrophage gelatinase|matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|type V collagenase",20q13.12,20,NC_000020.11,46008908,46016561,plus,13,120361
9606,Homo sapiens,3123,0,live,HLA-DRB1,"DRB1, HLA-DR1B, HLA-DRB, SS1","major histocompatibility complex, class II, DR beta 1","; major histocompatibility complex, class II, DR beta 1|HLA class II histocompatibility antigen, DR-1 beta chain|MHC class II HLA-DR beta 1 chain|human leucocyte antigen DRB1|lymphocyte antigen DRB1",6p21.32,6,NC_000006.12,32578769,32589836,minus,6,142857
9606,Homo sapiens,1401,0,live,CRP,PTX1,C-reactive protein,"; C-reactive protein|C-reactive protein, pentraxin-related|pentraxin 1",1q23.2,1,NC_000001.11,159712289,159714589,minus,4,123260
9606,Homo sapiens,4790,0,live,NFKB1,"CVID12, EBP-1, KBF1, NF-kB, NF-kB1, NF-kappa-B1, NF-kappaB, NFKB-p105, NFKB-p50, NFkappaB, p105, p50",nuclear factor kappa B subunit 1,; nuclear factor NF-kappa-B p105 subunit|DNA-binding factor KBF1|NF-kappabeta|nuclear factor NF-kappa-B p50 subunit|nuclear factor kappa-B DNA binding subunit|nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,4q24,4,NC_000004.12,102501266,102617302,plus,27,164011
9606,Homo sapiens,207,0,live,AKT1,"AKT, CWS6, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA",AKT serine/threonine kinase 1,; RAC-alpha serine/threonine-protein kinase|AKT1m|PKB alpha|RAC-PK-alpha|protein kinase B alpha|proto-oncogene c-Akt|rac protein kinase alpha|serine-threonine protein kinase|v-akt murine thymoma viral oncogene homolog 1|v-akt murine thymoma viral oncogene-like protein 1,14q32.33,14,NC_000014.9,104769349,104795748,minus,14,164730
9606,Homo sapiens,6774,0,live,STAT3,"ADMIO, ADMIO1, APRF, HIES",signal transducer and activator of transcription 3,; signal transducer and activator of transcription 3|DNA-binding protein APRF|acute-phase response factor,17q21.2,17,NC_000017.11,42313324,42388502,minus,24,102582
9606,Homo sapiens,7421,0,live,VDR,"NR1I1, PPP1R163",vitamin D receptor,"; vitamin D3 receptor|1,25-dihydroxyvitamin D3 receptor|nuclear receptor subfamily 1 group I member 1|protein phosphatase 1, regulatory subunit 163|vitamin D (1,25- dihydroxyvitamin D3) receptor|vitamin D nuclear receptor variant 1",12q13.11,12,NC_000012.12,47841537,47905031,minus,12,601769
9606,Homo sapiens,3553,0,live,IL1B,"IL-1, IL1-BETA, IL1F2, IL1beta",interleukin 1 beta,; interleukin-1 beta|IL-1 beta|catabolin|interleukin 1beta|preinterleukin 1 beta|pro-interleukin-1-beta,2q14.1,2,NC_000002.12,112829751,112836843,minus,7,147720
9606,Homo sapiens,5743,0,live,PTGS2,"COX-2, COX2, GRIPGHS, PGG/HS, PGHS-2, PHS-2, hCox-2",prostaglandin-endoperoxide synthase 2,; prostaglandin G/H synthase 2|PGH synthase 2|PHS II|cyclooxygenase 2|cyclooxygenase 2b|prostaglandin H2 synthase 2|prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),1q31.1,1,NC_000001.11,186671791,186680423,minus,10,600262
9606,Homo sapiens,7099,0,live,TLR4,"ARMD10, CD284, TLR-4, TOLL",toll like receptor 4,; toll-like receptor 4|hToll|homolog of Drosophila toll|toll like receptor 4 protein,9q33.1,9,NC_000009.12,117704403,117724735,plus,4,603030
9606,Homo sapiens,3576,0,live,CXCL8,"GCP-1, GCP1, IL8, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1",C-X-C motif chemokine ligand 8,"; interleukin-8|T-cell chemotactic factor|alveolar macrophage chemotactic factor I|beta endothelial cell-derived neutrophil activating peptide|beta-thromboglobulin-like protein|chemokine (C-X-C motif) ligand 8|emoctakin|granulocyte chemotactic protein 1|interleukin 8|lung giant cell carcinoma-derived chemotactic protein|lymphocyte derived neutrophil activating peptide|monocyte-derived neutrophil chemotactic factor|monocyte-derived neutrophil-activating peptide|neutrophil-activating peptide 1|small inducible cytokine subfamily B, member 8|tumor necrosis factor-induced gene 1",4q13.3,4,NC_000004.12,73740569,73743716,plus,4,146930
9606,Homo sapiens,3106,0,live,HLA-B,"AS, B-4901, HLAB","major histocompatibility complex, class I, B","; major histocompatibility complex, class I, B|HLA class I antigen HLA-B|HLA class I histocompatibility antigen, B alpha chain|MHC HLA-B cell surface glycoprotein|MHC HLA-B transmembrane glycoprotein|MHC class 1 antigen|MHC class I antigen HLA-B alpha chain|MHC class I antigen HLA-B heavy chain|MHC class I antigen SHCHA|MHC class I molecule|leukocyte antigen class I-B",6p21.33,6,NC_000006.12,31353875,31357179,minus,8,142830
9606,Homo sapiens,596,0,live,BCL2,"Bcl-2, PPP1R50",BCL2 apoptosis regulator,"; apoptosis regulator Bcl-2|B-cell CLL/lymphoma 2|protein phosphatase 1, regulatory subunit 50",18q21.33,18,NC_000018.10,63123346,63320280,minus,6,151430
9606,Homo sapiens,3458,0,live,IFNG,"IFG, IFI",interferon gamma,; interferon gamma|IFN-gamma|immune interferon,12q15,12,NC_000012.12,68154768,68159740,minus,4,147570
9606,Homo sapiens,4313,0,live,MMP2,"CLG4, CLG4A, MMP-2, MMP-II, MONA, TBE-1",matrix metallopeptidase 2,"; 72 kDa type IV collagenase|collagenase type IV-A|matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)|matrix metalloproteinase-2|matrix metalloproteinase-II|neutrophil gelatinase",16q12.2,16,NC_000016.10,55478830,55506691,plus,17,120360
9606,Homo sapiens,5054,0,live,SERPINE1,"PAI, PAI-1, PAI1, PLANH1",serpin family E member 1,"; plasminogen activator inhibitor 1|endothelial plasminogen activator inhibitor|serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1|serpin E1|serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",7q22.1,7,NC_000007.14,101127104,101139247,plus,9,173360
9606,Homo sapiens,6347,0,live,CCL2,"GDCF-2, HC11, HSMCR30, MCAF, MCP-1, MCP1, SCYA2, SMC-CF",C-C motif chemokine ligand 2,"; C-C motif chemokine 2|chemokine (C-C motif) ligand 2|monocyte chemoattractant protein-1|monocyte chemotactic and activating factor|monocyte chemotactic protein 1|monocyte secretory protein JE|small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sig-je)|small inducible cytokine subfamily A (Cys-Cys), member 2|small-inducible cytokine A2",17q12,17,NC_000017.11,34255285,34257203,plus,3,158105
9606,Homo sapiens,5290,0,live,PIK3CA,"CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","; phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform|PI3-kinase p110 subunit alpha|phosphatidylinositol 3-kinase, catalytic, 110-KD, alpha|phosphatidylinositol 3-kinase, catalytic, alpha polypeptide|phosphatidylinositol-4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha|phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, alpha isoform|phosphoinositide-3-kinase, catalytic, alpha polypeptide|ptdIns-3-kinase subunit p110-alpha|serine/threonine protein kinase PIK3CA",3q26.32,3,NC_000003.12,179148114,179240093,plus,23,171834
9606,Homo sapiens,7097,0,live,TLR2,"CD282, TIL4",toll like receptor 2,; toll-like receptor 2|toll/interleukin-1 receptor-like protein 4,4q31.3,4,NC_000004.12,153684080,153710643,plus,5,603028
9606,Homo sapiens,3105,0,live,HLA-A,HLAA,"major histocompatibility complex, class I, A","; HLA class I histocompatibility antigen, A alpha chain|HLA class I histocompatibility antigen, A-1 alpha chain|MHC class I antigen HLA-A heavy chain|leukocyte antigen class I-A",6p22.1,6,NC_000006.12,29942532,29945870,plus,8,142800
9606,Homo sapiens,406991,0,live,MIR21,"MIRN21, hsa-mir-21, miR-21, miRNA21",microRNA 21,,17q23.1,17,NC_000017.11,59841266,59841337,plus,1,611020
9606,Homo sapiens,3146,0,live,HMGB1,"HMG-1, HMG1, HMG3, SBP-1",high mobility group box 1,; high mobility group protein B1|Amphoterin|Sulfoglucuronyl carbohydrate binding protein|high-mobility group (nonhistone chromosomal) protein 1,13q12.3,13,NC_000013.11,30456704,30617597,minus,9,163905
9606,Homo sapiens,3383,0,live,ICAM1,"BB2, CD54, P3.58",intercellular adhesion molecule 1,"; intercellular adhesion molecule 1|ICAM-1|cell surface glycoprotein P3.58|epididymis secretory sperm binding protein|intercellular adhesion molecule 1 (CD54), human rhinovirus receptor|major group rhinovirus receptor",19p13.2,19,NC_000019.10,10271120,10286615,plus,7,147840
9606,Homo sapiens,3162,0,live,HMOX1,"HMOX1D, HO-1, HSP32, bK286B10",heme oxygenase 1,"; heme oxygenase 1|heat shock protein, 32-kD|heme oxygenase (decycling) 1",22q12.3,22,NC_000022.11,35381096,35394207,plus,5,141250
9606,Homo sapiens,3565,0,live,IL4,"BCGF-1, BCGF1, BSF-1, BSF1, IL-4",interleukin 4,; interleukin-4|B cell growth factor 1|B_cell stimulatory factor 1|binetrakin|interleukin 4 variant 2|lymphocyte stimulatory factor 1|pitrakinra,5q31.1,5,NC_000005.10,132673986,132682678,plus,5,147780
9606,Homo sapiens,1432,0,live,MAPK14,"CSBP, CSBP1, CSBP2, CSPB1, EXIP, Mxi2, PRKM14, PRKM15, RK, SAPK2A, p38, p38ALPHA",mitogen-activated protein kinase 14,; mitogen-activated protein kinase 14|CSAID-binding protein|MAP kinase 14|MAP kinase Mxi2|MAP kinase p38 alpha|MAX-interacting protein 2|cytokine suppressive anti-inflammatory drug binding protein|mitogen-activated protein kinase p38 alpha|p38 MAP kinase|p38 mitogen activated protein kinase|p38alpha Exip|stress-activated protein kinase 2A,6p21.31,6,NC_000006.12,36027677,36122964,plus,22,600289
9606,Homo sapiens,2932,0,live,GSK3B,,glycogen synthase kinase 3 beta,; glycogen synthase kinase-3 beta|GSK-3 beta|GSK3beta isoform|serine/threonine-protein kinase GSK3B,3q13.33,3,NC_000003.12,119821321,120095823,minus,13,605004
9606,Homo sapiens,3690,0,live,ITGB3,"BDPLT16, BDPLT2, CD61, GP3A, GPIIIa, GT",integrin subunit beta 3,"; integrin beta-3|antigen CD61|integrin beta 3|integrin beta chain, beta 3|integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)|platelet membrane glycoprotein IIIa",17q21.32,17,NC_000017.11,47253842,47312711,plus,15,173470
9606,Homo sapiens,3688,0,live,ITGB1,"CD29, FNRB, GPIIA, MDF2, MSK12, VLA-BETA, VLAB",integrin subunit beta 1,"; integrin beta-1|glycoprotein IIa|integrin VLA-4 beta subunit|integrin beta 1|integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)|very late activation protein, beta polypeptide",10p11.22,10,NC_000010.11,32900318,32958230,minus,18,135630
9606,Homo sapiens,857,0,live,CAV1,"BSCL3, CGL3, LCCNS, MSTP085, PPH3, VIP21",caveolin 1,"; caveolin-1|caveolin 1, caveolae protein, 22kDa|cell growth-inhibiting protein 32",7q31.2,7,NC_000007.14,116525009,116561185,plus,4,601047
9606,Homo sapiens,4153,0,live,MBL2,"COLEC1, HSMBPC, MBLD, MBP, MBP-C, MBP1, MBPD, MBL2",mannose binding lectin 2,"; mannose-binding protein C|collectin-1|mannan-binding lectin|mannose-binding lectin (protein C) 2, soluble (opsonic defect)|mannose-binding lectin 2, soluble (opsonic defect)",10q21.1,10,NC_000010.11,52764977,52772847,minus,5,154545
9606,Homo sapiens,8743,0,live,TNFSF10,"APO2L, Apo-2L, CD253, TL2, TNLG6A, TRAIL",TNF superfamily member 10,"; tumor necrosis factor ligand superfamily member 10|Apo-2 ligand|TNF-related apoptosis inducing ligand TRAIL|chemokine tumor necrosis factor ligand superfamily member 10|tumor necrosis factor (ligand) family, member 10|tumor necrosis factor (ligand) superfamily, member 10|tumor necrosis factor apoptosis-inducing ligand splice variant delta|tumor necrosis factor ligand 6A|tumor necrosis factor superfamily member 10",3q26.31,3,NC_000003.12,172505508,172523430,minus,6,603598
9606,Homo sapiens,3557,0,live,IL1RN,"DIRA, ICIL-1RA, IL-1RN, IL-1ra, IL-1ra3, IL1F3, IL1RA, IRAP, MVCD4",interleukin 1 receptor antagonist,; interleukin-1 receptor antagonist protein|IL1 inhibitor|intracellular IL-1 receptor antagonist type II|intracellular interleukin-1 receptor antagonist (icIL-1ra)|type II interleukin-1 receptor antagonist,2q14.1,2,NC_000002.12,113099365,113134016,plus,11,147679
9606,Homo sapiens,3075,0,live,CFH,"AHUS1, AMBP1, ARMD4, ARMS1L3, FH, FHL1, HF, HF1, HF2, HUS, CFH",complement factor H,; complement factor H|H factor 1 (complement)|H factor 2 (complement)|adrenomedullin binding protein|age-related maculopathy susceptibility 1|beta-1-H-globulin|beta-1H|factor H|factor H-like 1,1q31.3,1,NC_000001.11,196651878,196747504,plus,25,134370
9606,Homo sapiens,3791,0,live,KDR,"CD309, FLK1, VEGFR, VEGFR2",kinase insert domain receptor,; vascular endothelial growth factor receptor 2|fetal liver kinase-1|kinase insert domain receptor (a type III receptor tyrosine kinase)|protein-tyrosine kinase receptor Flk-1|soluble VEGFR2|tyrosine kinase growth factor receptor,4q12,4,NC_000004.12,55078481,55125595,minus,30,191306
9606,Homo sapiens,4282,0,live,MIF,"GIF, GLIF, MMIF",macrophage migration inhibitory factor,; macrophage migration inhibitory factor|L-dopachrome isomerase|L-dopachrome tautomerase|epididymis secretory sperm binding protein|macrophage migration inhibitory factor (glycosylation-inhibiting factor)|phenylpyruvate tautomerase,22q11.23,22,NC_000022.11,23894383,23895223,plus,3,153620
